v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,793.0,1163.0,34174.57496762577,50119.83693234397,0.6818572656921754,0.6818572656921754,8,0,1,19.0,47655,7170,40485,0.029113067027758954,0.022880312794149593,0,43.09530260734649,19.0,8,18,True,"{5: 91, 7: 80, 1: 35, 0: 66, 3: 12, 6: 22, 4: 50, 2: 41}","{(0, 2): [(66, 21), (21, 41)], (0, 4): [(66, 50)], (0, 5): [(66, 21), (21, 91)], (1, 2): [(35, 88), (88, 41)], (1, 4): [(35, 83), (83, 50)], (1, 5): [(35, 91)], (1, 6): [(35, 40), (40, 22)], (2, 4): [(41, 21), (21, 50)], (2, 5): [(41, 85), (85, 91)], (2, 6): [(41, 27), (27, 22)], (3, 4): [(12, 50)], (3, 5): [(12, 50), (50, 91)], (3, 7): [(12, 66), (66, 80)], (4, 5): [(50, 21), (21, 91)], (4, 7): [(50, 80)], (5, 6): [(91, 80), (80, 22)], (5, 7): [(91, 80)], (6, 7): [(22, 80)]}","{(5, 91): {'cpu': 20}, (7, 80): {'cpu': 31}, (1, 35): {'cpu': 43}, (0, 66): {'cpu': 44}, (3, 12): {'cpu': 35}, (6, 22): {'cpu': 17}, (4, 50): {'cpu': 11}, (2, 41): {'cpu': 14}}","{((0, 2), (66, 21)): {'bw': 44}, ((0, 2), (21, 41)): {'bw': 44}, ((0, 4), (66, 50)): {'bw': 39}, ((0, 5), (66, 21)): {'bw': 15}, ((0, 5), (21, 91)): {'bw': 15}, ((1, 2), (35, 88)): {'bw': 3}, ((1, 2), (88, 41)): {'bw': 3}, ((1, 4), (35, 83)): {'bw': 18}, ((1, 4), (83, 50)): {'bw': 18}, ((1, 5), (35, 91)): {'bw': 36}, ((1, 6), (35, 40)): {'bw': 47}, ((1, 6), (40, 22)): {'bw': 47}, ((2, 4), (41, 21)): {'bw': 20}, ((2, 4), (21, 50)): {'bw': 20}, ((2, 5), (41, 85)): {'bw': 39}, ((2, 5), (85, 91)): {'bw': 39}, ((2, 6), (41, 27)): {'bw': 30}, ((2, 6), (27, 22)): {'bw': 30}, ((3, 4), (12, 50)): {'bw': 20}, ((3, 5), (12, 50)): {'bw': 31}, ((3, 5), (50, 91)): {'bw': 31}, ((3, 7), (12, 66)): {'bw': 41}, ((3, 7), (66, 80)): {'bw': 41}, ((4, 5), (50, 21)): {'bw': 46}, ((4, 5), (21, 91)): {'bw': 46}, ((4, 7), (50, 80)): {'bw': 37}, ((5, 6), (91, 80)): {'bw': 36}, ((5, 6), (80, 22)): {'bw': 36}, ((5, 7), (91, 80)): {'bw': 46}, ((6, 7), (22, 80)): {'bw': 30}}",1163.0,793.0,430.0,215.0,578,215.0,578,215.0,948,370,0.6818572656921754,50119.83693234397,34174.57496762577,29.384845200022156,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,18.0
2,2,2,1197.0,1712.0,443262.1706993737,606033.4261816747,0.6991822429906542,0.7314153832935513,16,1,1,45.0,47106,6971,40135,0.056059580230196304,0.03132768566118793,1,1012.5930587419502,45.0,8,11,True,"{4: 96, 7: 2, 5: 73, 3: 86, 6: 49, 1: 79, 0: 92, 2: 78}","{(0, 4): [(92, 2), (2, 96)], (0, 5): [(92, 73)], (1, 6): [(79, 8), (8, 49)], (1, 7): [(79, 30), (30, 2)], (2, 5): [(78, 49), (49, 73)], (2, 7): [(78, 19), (19, 2)], (3, 4): [(86, 50), (50, 96)], (3, 6): [(86, 6), (6, 49)], (4, 5): [(96, 28), (28, 73)], (4, 7): [(96, 2)], (5, 7): [(73, 17), (17, 2)]}","{(4, 96): {'cpu': 31}, (7, 2): {'cpu': 32}, (5, 73): {'cpu': 25}, (3, 86): {'cpu': 42}, (6, 49): {'cpu': 34}, (1, 79): {'cpu': 11}, (0, 92): {'cpu': 23}, (2, 78): {'cpu': 1}}","{((0, 4), (92, 2)): {'bw': 5}, ((0, 4), (2, 96)): {'bw': 5}, ((0, 5), (92, 73)): {'bw': 12}, ((1, 6), (79, 8)): {'bw': 23}, ((1, 6), (8, 49)): {'bw': 23}, ((1, 7), (79, 30)): {'bw': 22}, ((1, 7), (30, 2)): {'bw': 22}, ((2, 5), (78, 49)): {'bw': 17}, ((2, 5), (49, 73)): {'bw': 17}, ((2, 7), (78, 19)): {'bw': 4}, ((2, 7), (19, 2)): {'bw': 4}, ((3, 4), (86, 50)): {'bw': 22}, ((3, 4), (50, 96)): {'bw': 22}, ((3, 6), (86, 6)): {'bw': 9}, ((3, 6), (6, 49)): {'bw': 9}, ((4, 5), (96, 28)): {'bw': 34}, ((4, 5), (28, 73)): {'bw': 34}, ((4, 7), (96, 2)): {'bw': 48}, ((5, 7), (73, 17)): {'bw': 9}, ((5, 7), (17, 2)): {'bw': 9}}",549.0,404.0,398.0,199.0,205,199.0,205,199.0,350,145,0.7358834244080146,555913.5892493307,409087.5957317479,745.1504475988122,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,11.0
2,2,1,1197.0,1712.0,443262.1706993737,606033.4261816747,0.6991822429906542,0.7314153832935513,16,2,0,62.09530260734649,48269,7186,41083,0.02694651320243735,0.008447372867038339,0,43.09530260734649,19.0,8,18,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
3,3,2,1656.0,2306.0,592029.633981878,798556.0257237392,0.7181266261925412,0.7413752008762513,16,3,1,70.0,47675,7011,40664,0.05064319566689235,0.018560084956435685,2,324.11212044118594,70.0,8,13,True,"{6: 91, 2: 80, 7: 35, 0: 66, 1: 12, 3: 22, 5: 50, 4: 41}","{(0, 2): [(66, 80)], (0, 5): [(66, 50)], (0, 6): [(66, 21), (21, 91)], (1, 3): [(12, 77), (77, 22)], (1, 5): [(12, 50)], (2, 3): [(80, 22)], (2, 4): [(80, 90), (90, 41)], (2, 6): [(80, 91)], (2, 7): [(80, 30), (30, 35)], (3, 5): [(22, 27), (27, 50)], (4, 6): [(41, 21), (21, 91)], (4, 7): [(41, 88), (88, 35)], (6, 7): [(91, 35)]}","{(6, 91): {'cpu': 48}, (2, 80): {'cpu': 20}, (7, 35): {'cpu': 35}, (0, 66): {'cpu': 18}, (1, 12): {'cpu': 26}, (3, 22): {'cpu': 11}, (5, 50): {'cpu': 8}, (4, 41): {'cpu': 9}}","{((0, 2), (66, 80)): {'bw': 48}, ((0, 5), (66, 50)): {'bw': 25}, ((0, 6), (66, 21)): {'bw': 10}, ((0, 6), (21, 91)): {'bw': 10}, ((1, 3), (12, 77)): {'bw': 30}, ((1, 3), (77, 22)): {'bw': 30}, ((1, 5), (12, 50)): {'bw': 8}, ((2, 3), (80, 22)): {'bw': 17}, ((2, 4), (80, 90)): {'bw': 18}, ((2, 4), (90, 41)): {'bw': 18}, ((2, 6), (80, 91)): {'bw': 14}, ((2, 7), (80, 30)): {'bw': 30}, ((2, 7), (30, 35)): {'bw': 30}, ((3, 5), (22, 27)): {'bw': 34}, ((3, 5), (27, 50)): {'bw': 34}, ((4, 6), (41, 21)): {'bw': 11}, ((4, 6), (21, 91)): {'bw': 11}, ((4, 7), (41, 88)): {'bw': 2}, ((4, 7), (88, 35)): {'bw': 2}, ((6, 7), (91, 35)): {'bw': 37}}",594.0,459.0,350.0,175.0,284,175.0,284,175.0,419,135,0.7727272727272727,192522.59954206445,148767.46328250435,250.45027488637095,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,13.0
4,4,3,2316.0,3292.0,677406.7699300973,926104.2924585029,0.7035236938031592,0.7314584064088556,21,4,1,96.0,46689,6811,39878,0.07772511848341235,0.03753047088069894,3,129.35929689124114,96.0,8,17,True,"{1: 66, 6: 67, 4: 61, 0: 83, 5: 78, 2: 17, 7: 90, 3: 80}","{(0, 1): [(83, 66)], (0, 2): [(83, 43), (43, 17)], (0, 3): [(83, 19), (19, 80)], (0, 4): [(83, 61)], (0, 5): [(83, 33), (33, 78)], (0, 6): [(83, 67)], (0, 7): [(83, 22), (22, 90)], (1, 2): [(66, 17)], (1, 3): [(66, 80)], (1, 4): [(66, 78), (78, 61)], (1, 5): [(66, 78)], (1, 6): [(66, 4), (4, 67)], (2, 5): [(17, 58), (58, 78)], (2, 7): [(17, 66), (66, 90)], (4, 5): [(61, 33), (33, 78)], (4, 6): [(61, 63), (63, 67)], (5, 6): [(78, 57), (57, 67)]}","{(1, 66): {'cpu': 45}, (6, 67): {'cpu': 45}, (4, 61): {'cpu': 36}, (0, 83): {'cpu': 15}, (5, 78): {'cpu': 27}, (2, 17): {'cpu': 12}, (7, 90): {'cpu': 17}, (3, 80): {'cpu': 3}}","{((0, 1), (83, 66)): {'bw': 9}, ((0, 2), (83, 43)): {'bw': 29}, ((0, 2), (43, 17)): {'bw': 29}, ((0, 3), (83, 19)): {'bw': 50}, ((0, 3), (19, 80)): {'bw': 50}, ((0, 4), (83, 61)): {'bw': 20}, ((0, 5), (83, 33)): {'bw': 17}, ((0, 5), (33, 78)): {'bw': 17}, ((0, 6), (83, 67)): {'bw': 41}, ((0, 7), (83, 22)): {'bw': 46}, ((0, 7), (22, 90)): {'bw': 46}, ((1, 2), (66, 17)): {'bw': 13}, ((1, 3), (66, 80)): {'bw': 49}, ((1, 4), (66, 78)): {'bw': 43}, ((1, 4), (78, 61)): {'bw': 43}, ((1, 5), (66, 78)): {'bw': 2}, ((1, 6), (66, 4)): {'bw': 31}, ((1, 6), (4, 67)): {'bw': 31}, ((2, 5), (17, 58)): {'bw': 39}, ((2, 5), (58, 78)): {'bw': 39}, ((2, 7), (17, 66)): {'bw': 24}, ((2, 7), (66, 90)): {'bw': 24}, ((4, 5), (61, 33)): {'bw': 32}, ((4, 5), (33, 78)): {'bw': 32}, ((4, 6), (61, 63)): {'bw': 3}, ((4, 6), (63, 67)): {'bw': 3}, ((5, 6), (78, 57)): {'bw': 12}, ((5, 6), (57, 67)): {'bw': 12}}",986.0,660.0,400.0,200.0,460,200.0,460,200.0,786,326,0.6693711967545639,127548.26673476376,85377.13594821916,86.58938737141902,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,17.0
5,5,4,2881.0,4111.0,738035.0424311091,1013988.460915722,0.7008027243979567,0.7278534923016754,27,5,1,119.0,45870,6625,39245,0.10291130670277593,0.05280814809451406,4,107.30667699294136,119.0,8,14,True,"{2: 42, 0: 95, 1: 41, 3: 21, 4: 50, 7: 99, 6: 34, 5: 57}","{(0, 1): [(95, 21), (21, 41)], (0, 2): [(95, 12), (12, 42)], (0, 3): [(95, 21)], (0, 6): [(95, 34)], (1, 3): [(41, 21)], (1, 4): [(41, 27), (27, 50)], (1, 6): [(41, 21), (21, 34)], (1, 7): [(41, 48), (48, 99)], (2, 3): [(42, 39), (39, 21)], (2, 4): [(42, 32), (32, 66), (66, 50)], (2, 6): [(42, 53), (53, 34)], (3, 6): [(21, 34)], (4, 5): [(50, 57)], (4, 6): [(50, 34)]}","{(2, 42): {'cpu': 50}, (0, 95): {'cpu': 43}, (1, 41): {'cpu': 24}, (3, 21): {'cpu': 7}, (4, 50): {'cpu': 8}, (7, 99): {'cpu': 30}, (6, 34): {'cpu': 1}, (5, 57): {'cpu': 23}}","{((0, 1), (95, 21)): {'bw': 10}, ((0, 1), (21, 41)): {'bw': 10}, ((0, 2), (95, 12)): {'bw': 33}, ((0, 2), (12, 42)): {'bw': 33}, ((0, 3), (95, 21)): {'bw': 44}, ((0, 6), (95, 34)): {'bw': 45}, ((1, 3), (41, 21)): {'bw': 36}, ((1, 4), (41, 27)): {'bw': 29}, ((1, 4), (27, 50)): {'bw': 29}, ((1, 6), (41, 21)): {'bw': 2}, ((1, 6), (21, 34)): {'bw': 2}, ((1, 7), (41, 48)): {'bw': 18}, ((1, 7), (48, 99)): {'bw': 18}, ((2, 3), (42, 39)): {'bw': 41}, ((2, 3), (39, 21)): {'bw': 41}, ((2, 4), (42, 32)): {'bw': 50}, ((2, 4), (32, 66)): {'bw': 50}, ((2, 4), (66, 50)): {'bw': 50}, ((2, 6), (42, 53)): {'bw': 21}, ((2, 6), (53, 34)): {'bw': 21}, ((3, 6), (21, 34)): {'bw': 33}, ((4, 5), (50, 57)): {'bw': 0}, ((4, 6), (50, 34)): {'bw': 17}}",819.0,565.0,372.0,186.0,379,186.0,379,186.0,633,254,0.6898656898656899,87884.16845721897,60628.27250101187,74.02719475093025,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,14.0
6,6,5,3422.0,4879.0,1162137.2910288384,1616041.1909028864,0.7013732322197171,0.7191260331548537,32,6,1,145.0,45102,6382,38720,0.13581584292484772,0.06547920739507151,5,783.9228255041206,145.0,8,16,True,"{3: 11, 0: 77, 2: 3, 7: 62, 1: 79, 5: 80, 4: 20, 6: 22}","{(0, 2): [(77, 46), (46, 3)], (0, 3): [(77, 11)], (0, 6): [(77, 22)], (0, 7): [(77, 95), (95, 62)], (1, 2): [(79, 38), (38, 3)], (1, 3): [(79, 30), (30, 11)], (1, 4): [(79, 1), (1, 20)], (1, 6): [(79, 40), (40, 22)], (1, 7): [(79, 1), (1, 20), (20, 62)], (2, 3): [(3, 38), (38, 11)], (2, 5): [(3, 19), (19, 80)], (2, 6): [(3, 92), (92, 22)], (2, 7): [(3, 6), (6, 61), (61, 62)], (3, 4): [(11, 20)], (3, 7): [(11, 20), (20, 62)], (5, 6): [(80, 22)]}","{(3, 11): {'cpu': 50}, (0, 77): {'cpu': 45}, (2, 3): {'cpu': 39}, (7, 62): {'cpu': 19}, (1, 79): {'cpu': 19}, (5, 80): {'cpu': 48}, (4, 20): {'cpu': 15}, (6, 22): {'cpu': 8}}","{((0, 2), (77, 46)): {'bw': 24}, ((0, 2), (46, 3)): {'bw': 24}, ((0, 3), (77, 11)): {'bw': 33}, ((0, 6), (77, 22)): {'bw': 20}, ((0, 7), (77, 95)): {'bw': 38}, ((0, 7), (95, 62)): {'bw': 38}, ((1, 2), (79, 38)): {'bw': 23}, ((1, 2), (38, 3)): {'bw': 23}, ((1, 3), (79, 30)): {'bw': 28}, ((1, 3), (30, 11)): {'bw': 28}, ((1, 4), (79, 1)): {'bw': 8}, ((1, 4), (1, 20)): {'bw': 8}, ((1, 6), (79, 40)): {'bw': 0}, ((1, 6), (40, 22)): {'bw': 0}, ((1, 7), (79, 1)): {'bw': 21}, ((1, 7), (1, 20)): {'bw': 21}, ((1, 7), (20, 62)): {'bw': 21}, ((2, 3), (3, 38)): {'bw': 3}, ((2, 3), (38, 11)): {'bw': 3}, ((2, 5), (3, 19)): {'bw': 15}, ((2, 5), (19, 80)): {'bw': 15}, ((2, 6), (3, 92)): {'bw': 8}, ((2, 6), (92, 22)): {'bw': 8}, ((2, 7), (3, 6)): {'bw': 15}, ((2, 7), (6, 61)): {'bw': 15}, ((2, 7), (61, 62)): {'bw': 15}, ((3, 4), (11, 20)): {'bw': 44}, ((3, 7), (11, 20)): {'bw': 8}, ((3, 7), (20, 62)): {'bw': 8}, ((5, 6), (80, 22)): {'bw': 10}}",768.0,541.0,486.0,243.0,298,243.0,298,243.0,525,227,0.7044270833333334,602052.7299871646,424102.24859772925,552.2164695282934,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,16.0
7,7,6,3981.0,5792.0,1235974.336864415,1736637.2961763777,0.6873273480662984,0.7117055124784595,37,7,1,168.0,44189,6132,38057,0.1696682464454976,0.0814809451403471,6,132.08773852518217,168.0,8,14,True,"{7: 35, 1: 34, 0: 82, 3: 5, 4: 45, 2: 50, 6: 25, 5: 87}","{(0, 1): [(82, 56), (56, 34)], (0, 2): [(82, 3), (3, 72), (72, 50)], (0, 3): [(82, 48), (48, 5)], (0, 5): [(82, 87)], (0, 7): [(82, 30), (30, 35)], (1, 2): [(34, 50)], (1, 6): [(34, 0), (0, 25)], (2, 4): [(50, 21), (21, 45)], (2, 6): [(50, 21), (21, 25)], (2, 7): [(50, 83), (83, 35)], (3, 4): [(5, 67), (67, 4), (4, 45)], (3, 7): [(5, 35)], (4, 7): [(45, 30), (30, 35)], (6, 7): [(25, 21), (21, 33), (33, 35)]}","{(7, 35): {'cpu': 34}, (1, 34): {'cpu': 45}, (0, 82): {'cpu': 31}, (3, 5): {'cpu': 37}, (4, 45): {'cpu': 31}, (2, 50): {'cpu': 12}, (6, 25): {'cpu': 10}, (5, 87): {'cpu': 50}}","{((0, 1), (82, 56)): {'bw': 7}, ((0, 1), (56, 34)): {'bw': 7}, ((0, 2), (82, 3)): {'bw': 26}, ((0, 2), (3, 72)): {'bw': 26}, ((0, 2), (72, 50)): {'bw': 26}, ((0, 3), (82, 48)): {'bw': 33}, ((0, 3), (48, 5)): {'bw': 33}, ((0, 5), (82, 87)): {'bw': 3}, ((0, 7), (82, 30)): {'bw': 20}, ((0, 7), (30, 35)): {'bw': 20}, ((1, 2), (34, 50)): {'bw': 22}, ((1, 6), (34, 0)): {'bw': 37}, ((1, 6), (0, 25)): {'bw': 37}, ((2, 4), (50, 21)): {'bw': 46}, ((2, 4), (21, 45)): {'bw': 46}, ((2, 6), (50, 21)): {'bw': 2}, ((2, 6), (21, 25)): {'bw': 2}, ((2, 7), (50, 83)): {'bw': 50}, ((2, 7), (83, 35)): {'bw': 50}, ((3, 4), (5, 67)): {'bw': 15}, ((3, 4), (67, 4)): {'bw': 15}, ((3, 4), (4, 45)): {'bw': 15}, ((3, 7), (5, 35)): {'bw': 8}, ((4, 7), (45, 30)): {'bw': 3}, ((4, 7), (30, 35)): {'bw': 3}, ((6, 7), (25, 21)): {'bw': 37}, ((6, 7), (21, 33)): {'bw': 37}, ((6, 7), (33, 35)): {'bw': 37}}",913.0,559.0,500.0,250.0,309,250.0,309,250.0,663,354,0.6122672508214677,120596.10527349132,73837.04583557684,80.87299653403817,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,14.0
8,8,7,4550.0,6832.0,1533981.2822391775,2281324.858900021,0.6659836065573771,0.6724080861411436,42,8,1,190.0,43149,5951,37198,0.19417738659444816,0.10221321169116404,7,523.7380410804261,190.0,8,15,True,"{0: 7, 4: 17, 1: 43, 6: 38, 3: 69, 7: 91, 2: 12, 5: 65}","{(0, 1): [(7, 82), (82, 43)], (0, 3): [(7, 20), (20, 69)], (0, 4): [(7, 49), (49, 2), (2, 17)], (0, 5): [(7, 20), (20, 65)], (0, 7): [(7, 80), (80, 91)], (1, 2): [(43, 17), (17, 66), (66, 12)], (1, 4): [(43, 28), (28, 17)], (1, 5): [(43, 48), (48, 65)], (1, 7): [(43, 25), (25, 91)], (2, 4): [(12, 94), (94, 17)], (2, 5): [(12, 65)], (3, 4): [(69, 84), (84, 17)], (3, 5): [(69, 20), (20, 65)], (4, 6): [(17, 3), (3, 38)], (6, 7): [(38, 35), (35, 91)]}","{(0, 7): {'cpu': 45}, (4, 17): {'cpu': 29}, (1, 43): {'cpu': 30}, (6, 38): {'cpu': 37}, (3, 69): {'cpu': 10}, (7, 91): {'cpu': 21}, (2, 12): {'cpu': 8}, (5, 65): {'cpu': 1}}","{((0, 1), (7, 82)): {'bw': 20}, ((0, 1), (82, 43)): {'bw': 20}, ((0, 3), (7, 20)): {'bw': 26}, ((0, 3), (20, 69)): {'bw': 26}, ((0, 4), (7, 49)): {'bw': 44}, ((0, 4), (49, 2)): {'bw': 44}, ((0, 4), (2, 17)): {'bw': 44}, ((0, 5), (7, 20)): {'bw': 29}, ((0, 5), (20, 65)): {'bw': 29}, ((0, 7), (7, 80)): {'bw': 11}, ((0, 7), (80, 91)): {'bw': 11}, ((1, 2), (43, 17)): {'bw': 39}, ((1, 2), (17, 66)): {'bw': 39}, ((1, 2), (66, 12)): {'bw': 39}, ((1, 4), (43, 28)): {'bw': 15}, ((1, 4), (28, 17)): {'bw': 15}, ((1, 5), (43, 48)): {'bw': 38}, ((1, 5), (48, 65)): {'bw': 38}, ((1, 7), (43, 25)): {'bw': 5}, ((1, 7), (25, 91)): {'bw': 5}, ((2, 4), (12, 94)): {'bw': 37}, ((2, 4), (94, 17)): {'bw': 37}, ((2, 5), (12, 65)): {'bw': 0}, ((3, 4), (69, 84)): {'bw': 35}, ((3, 4), (84, 17)): {'bw': 35}, ((3, 5), (69, 20)): {'bw': 32}, ((3, 5), (20, 65)): {'bw': 32}, ((4, 6), (17, 3)): {'bw': 34}, ((4, 6), (3, 38)): {'bw': 34}, ((6, 7), (38, 35)): {'bw': 23}, ((6, 7), (35, 91)): {'bw': 23}}",1040.0,569.0,362.0,181.0,388,181.0,388,181.0,859,471,0.5471153846153847,544687.5627236431,298006.94537476246,286.5451397834255,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,15.0
9,9,8,5165.0,7834.0,1559870.4205062238,2323505.2110034036,0.6593055910135308,0.6713436290648968,47,9,1,221.0,42147,5705,36442,0.2274881516587678,0.12045953708396684,8,42.09615978381517,221.0,8,16,True,"{1: 24, 6: 90, 4: 22, 3: 27, 0: 92, 7: 19, 5: 30, 2: 28}","{(0, 1): [(92, 2), (2, 24)], (0, 4): [(92, 22)], (0, 5): [(92, 30)], (0, 6): [(92, 22), (22, 90)], (1, 2): [(24, 17), (17, 28)], (1, 3): [(24, 39), (39, 27)], (1, 4): [(24, 2), (2, 63), (63, 22)], (1, 6): [(24, 32), (32, 90)], (1, 7): [(24, 2), (2, 19)], (2, 3): [(28, 58), (58, 87), (87, 27)], (2, 7): [(28, 43), (43, 19)], (3, 6): [(27, 41), (41, 90)], (4, 6): [(22, 69), (69, 90)], (5, 6): [(30, 80), (80, 90)], (5, 7): [(30, 2), (2, 19)], (6, 7): [(90, 66), (66, 19)]}","{(1, 24): {'cpu': 46}, (6, 90): {'cpu': 35}, (4, 22): {'cpu': 39}, (3, 27): {'cpu': 22}, (0, 92): {'cpu': 26}, (7, 19): {'cpu': 46}, (5, 30): {'cpu': 25}, (2, 28): {'cpu': 7}}","{((0, 1), (92, 2)): {'bw': 27}, ((0, 1), (2, 24)): {'bw': 27}, ((0, 4), (92, 22)): {'bw': 28}, ((0, 5), (92, 30)): {'bw': 34}, ((0, 6), (92, 22)): {'bw': 5}, ((0, 6), (22, 90)): {'bw': 5}, ((1, 2), (24, 17)): {'bw': 12}, ((1, 2), (17, 28)): {'bw': 12}, ((1, 3), (24, 39)): {'bw': 31}, ((1, 3), (39, 27)): {'bw': 31}, ((1, 4), (24, 2)): {'bw': 36}, ((1, 4), (2, 63)): {'bw': 36}, ((1, 4), (63, 22)): {'bw': 36}, ((1, 6), (24, 32)): {'bw': 31}, ((1, 6), (32, 90)): {'bw': 31}, ((1, 7), (24, 2)): {'bw': 3}, ((1, 7), (2, 19)): {'bw': 3}, ((2, 3), (28, 58)): {'bw': 44}, ((2, 3), (58, 87)): {'bw': 44}, ((2, 3), (87, 27)): {'bw': 44}, ((2, 7), (28, 43)): {'bw': 7}, ((2, 7), (43, 19)): {'bw': 7}, ((3, 6), (27, 41)): {'bw': 43}, ((3, 6), (41, 90)): {'bw': 43}, ((4, 6), (22, 69)): {'bw': 26}, ((4, 6), (69, 90)): {'bw': 26}, ((5, 6), (30, 80)): {'bw': 10}, ((5, 6), (80, 90)): {'bw': 10}, ((5, 7), (30, 2)): {'bw': 12}, ((5, 7), (2, 19)): {'bw': 12}, ((6, 7), (90, 66)): {'bw': 20}, ((6, 7), (66, 19)): {'bw': 20}}",1002.0,615.0,492.0,246.0,369,246.0,369,246.0,756,387,0.6137724550898204,42180.3521033828,25889.138267046328,25.8374633403656,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,16.0
9,9,7,5165.0,7834.0,1559870.4205062238,2323505.2110034036,0.6593055910135308,0.6713436290648968,47,10,0,225.35929689124114,43133,5905,37228,0.2004062288422478,0.10148915115970358,3,129.35929689124114,96.0,8,17,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
9,9,6,5165.0,7834.0,1559870.4205062238,2323505.2110034036,0.6593055910135308,0.6713436290648968,47,11,0,226.30667699294136,43952,6091,37861,0.1752200406228842,0.08621147394588857,4,107.30667699294136,119.0,8,14,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
